"race","state","year","office","seat","stname","fips","region","division","pollster","cosponsor1","cosponsor2","n","pop","method","party","end.date","vote.dem","vote.rep","vote.oth","vote.dk","real.dem","real.rep","real.oth","turnout"
"AK:2002:Gov:0","AK","2002","Gov",0,"Alaska",2,4,9,"Craciun","","",400,"Likely.Voters","Phone","NonPartisan",2002-10-14,46,43,0,11,40.7,55.85,3.45,231484
"AK:2002:Gov:0","AK","2002","Gov",0,"Alaska",2,4,9,"Moore","","",600,"Registered.Voters","Phone","Republican",2002-03-14,36,51,0,0,40.7,55.85,3.45,231484
"AK:2002:Gov:0","AK","2002","Gov",0,"Alaska",2,4,9,"Moore","","",300,"Likely.Voters","Phone","Republican",2002-10-16,34,50,0,16,40.7,55.85,3.45,231484
"AK:2002:Gov:0","AK","2002","Gov",0,"Alaska",2,4,9,"IvanMoore","","",300,"General.Population","Phone","Democratic",2002-07-13,41,48,3,0,40.7,55.85,3.45,231484
"AK:2002:Gov:0","AK","2002","Gov",0,"Alaska",2,4,9,"IvanMoore","Lake","",500,"Likely.Voters","Phone","Democratic",2002-09-21,46,43,3,8,40.7,55.85,3.45,231484
"AK:2006:Gov:0","AK","2006","Gov",0,"Alaska",2,4,9,"CRG","","",418,"Likely.Voters","Phone","NonPartisan",2006-10-15,43,43,0,8,40.97,48.33,10.7,237322
"AK:2006:Gov:0","AK","2006","Gov",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2006-09-05,38,52,0,0,40.97,48.33,10.7,237322
"AK:2006:Gov:0","AK","2006","Gov",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2006-11-02,43,48,0,0,40.97,48.33,10.7,237322
"AK:2006:Gov:0","AK","2006","Gov",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2006-08-03,38,51,0,0,40.97,48.33,10.7,237322
"AK:2006:Gov:0","AK","2006","Gov",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2006-10-10,40,47,0,0,40.97,48.33,10.7,237322
"AK:2006:Gov:0","AK","2006","Gov",0,"Alaska",2,4,9,"Hellenthal","","",NA,NA,"Phone","NonPartisan",2006-10-21,42.6,41.9,0,8.7,40.97,48.33,10.7,237322
"AK:2006:Gov:0","AK","2006","Gov",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2006-10-29,40,42,0,0,40.97,48.33,10.7,237322
"AK:2006:Gov:0","AK","2006","Gov",0,"Alaska",2,4,9,"IvanMoore","","",600,NA,"Phone","NonPartisan",2006-06-04,43,39,0,0,40.97,48.33,10.7,237322
"AK:2006:Gov:0","AK","2006","Gov",0,"Alaska",2,4,9,"Dittman","","",507,"Likely.Voters","Phone","NonPartisan",2006-09-27,37,49,0,10,40.97,48.33,10.7,237322
"AK:2006:Gov:0","AK","2006","Gov",0,"Alaska",2,4,9,"Dittman","","",510,"Likely.Voters","Phone","NonPartisan",2006-10-22,39,48,0,9,40.97,48.33,10.7,237322
"AK:2006:Gov:0","AK","2006","Gov",0,"Alaska",2,4,9,"Dittman","","",507,"Likely.Voters","Phone","NonPartisan",2006-08-30,29,46,0,22,40.97,48.33,10.7,237322
"AK:2006:Gov:0","AK","2006","Gov",0,"Alaska",2,4,9,"IvanMoore","","",502,"Registered.Voters","Phone","Democratic",2006-10-10,37,48,0,8,40.97,48.33,10.7,237322
"AK:2000:Pres:0","AK","2000","Pres",0,"Alaska",2,4,9,"ARG","","",600,"Likely.Voters","Phone","NonPartisan",2000-09-17,26,47,18,10,27.67,58.62,13.72,285560
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Hays","","",400,"General.Population","Phone","Partisan",2008-11-02,45,48,2,5,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Hays","","",400,"General.Population","Phone","Partisan",2008-08-07,45,40,4,10,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-09-09,33,64,0,3,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-07-17,44,49,2,5,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Dittman","","",489,"Likely.Voters","Phone","Partisan",2008-10-29,37,56,0,7,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Research2000","DailyKos","",600,"Likely.Voters","Phone","Partisan",2008-10-30,39,58,1,2,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"FairleighDickinsonUniv","","",601,"Likely.Voters","Phone","NonPartisan",2008-09-21,37,55,3,5,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"IvanMoore","","",500,"Likely.Voters","Phone","Partisan",2008-09-02,35,54,0,12,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-06-16,41,45,7,6,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"ARG","","",600,"Likely.Voters","Phone","NonPartisan",2008-09-11,39,55,2,3,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Research2000","DailyKos","",600,"Likely.Voters","Phone","Partisan",2008-10-16,38,57,2,3,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"IvanMoore","","",500,"Likely.Voters","Phone","Partisan",2008-10-06,38,55,0,8,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-10-06,40,55,1,3,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-07-30,42,48,3,7,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Research2000","DailyKos","",600,"Likely.Voters","Phone","Partisan",2008-07-16,41,51,0,8,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"SurveyUSA","","",617,"Registered.Voters","IVR","NonPartisan",2008-02-29,43,48,0,9,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Research2000","DailyKos","",600,"Likely.Voters","Phone","Partisan",2008-09-17,38,55,0,7,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-10-28,41,57,1,1,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"YouGov","","",352,"Registered.Voters","Internet","NonPartisan",2008-11-01,38,55,2,5,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-04-07,43,48,5,4,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"American Viewpoint","","",400,"Registered.Voters","Phone","Partisan",2008-09-02,33,57,0,0,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"GSG","","",600,"Likely.Voters","Phone","Partisan",2008-06-10,42,44,3,0,37.89,59.42,2.69,326197
