race,state,year,office,seat,stname,fips,region,division,pollster,cosponsor1,cosponsor2,n,pop,method,party,end.date,vote.dem,vote.rep,vote.oth,vote.dk,real.dem,real.rep,real.oth,turnout,dem,rep,poll.candidates
AL:2010:House:2,AL,2010,House,2,Alabama,,,,"GQR (D-DCCC)","DCCC",,400,Likely.Voters,Phone,Democratic,2010-10-12,51.0,39.0,,,48.9,51.1,0.0,217797,Bright,Roby,2
AL:2010:House:2,AL,2010,House,2,Alabama,,,,"POS (R)",,,300,Likely.Voters,Phone,NonPartisan,2010-10-04,43.0,45.0,,11.0,48.9,51.1,0.0,217797,Bright,Roby,2
AL:2010:House:2,AL,2010,House,2,Alabama,,,,"GQR (D-DCCC)","DCCC",,400,Likely.Voters,Phone,Democratic,2010-09-28,52.0,43.0,,,48.9,51.1,0.0,217797,Bright,Roby,2
AL:2010:House:2,AL,2010,House,2,Alabama,,,,"GQR (D-DCCC)","DCCC",,403,Likely.Voters,Phone,Democratic,2010-08-26,52.0,43.0,,,48.9,51.1,0.0,217797,Bright,Roby,2
AL:2010:House:2,AL,2010,House,2,Alabama,,,,"Anzalone-Liszt (D-Bright)",,,500,Likely.Voters,Phone,NonPartisan,2010-02-11,54.0,30.0,,,48.9,51.1,0.0,217797,Bright,Roby,2
AL:2010:House:5,AL,2010,House,5,Alabama,,,,"POS (R-NRCC)","NRCC",,400,Likely.Voters,Phone,Republican,2010-08-23,37.0,48.0,,14.0,42.1,57.9,0.0,226005,Raby,Brooks,2
AR:2010:House:1,AR,2010,House,1,Arkansas,,,,"Hendrix College ","Talk Business",,436,Likely.Voters,Phone,NonPartisan,2010-10-14,34.0,42.0,4.0,20.0,43.4,51.8,4.8,178564,Causey,Crawford,3
AR:2010:House:1,AR,2010,House,1,Arkansas,,,,"Anzalone-Liszt (D-DCCC)","DCCC",,400,Likely.Voters,Phone,Democratic,2010-10-13,44.0,42.0,,,43.4,51.8,4.8,178564,Causey,Crawford,2
AR:2010:House:1,AR,2010,House,1,Arkansas,,,,"The Hill/ANGA","The Hill","American Natural Gas Alliance",409,Likely.Voters,Phone,NonPartisan,2010-10-07,34.0,46.0,3.0,17.0,43.4,51.8,4.8,178564,Causey,Crawford,2
AR:2010:House:1,AR,2010,House,1,Arkansas,,,,"Anzalone-Liszt (D-DCCC)","DCCC",,400,Likely.Voters,Phone,Democratic,2010-09-16,46.0,44.0,,,43.4,51.8,4.8,178564,Causey,Crawford,2
AR:2010:House:1,AR,2010,House,1,Arkansas,,,,"Garin-Hart-Yang (D-DCCC)","DCCC",,406,Likely.Voters,Phone,Democratic,2010-08-18,40.0,41.0,,12.0,43.4,51.8,4.8,178564,Causey,Crawford,2
AR:2010:House:1,AR,2010,House,1,Arkansas,,,,"Hendrix College ","Talk Business",,630,Likely.Voters,Phone,NonPartisan,2010-08-17,32.0,48.0,4.0,16.0,43.4,51.8,4.8,178564,Causey,Crawford,3
AR:2010:House:2,AR,2010,House,2,Arkansas,,,,"Hendrix College ","Talk Business",,446,Likely.Voters,Phone,NonPartisan,2010-10-14,38.0,50.0,6.0,7.0,38.2,57.9,3.9,207039,Elliott,Griffin,4
AR:2010:House:2,AR,2010,House,2,Arkansas,,,,"OnMessage (R-Griffin)","Tim Griffin",,400,Likely.Voters,Phone,Republican,2010-10-14,40.0,52.0,2.0,6.0,38.2,57.9,3.9,207039,Elliott,Griffin,2
AR:2010:House:2,AR,2010,House,2,Arkansas,,,,"Hendrix College ","Talk Business",,716,Likely.Voters,Phone,NonPartisan,2010-08-17,35.0,52.0,,,38.2,57.9,3.9,207039,Elliott,Griffin,2
AR:2010:House:2,AR,2010,House,2,Arkansas,,,,"OnMessage (R-NRCC)","NRCC",,400,Likely.Voters,Phone,Republican,2010-06-14,34.0,50.0,,,38.2,57.9,3.9,207039,Elliott,Griffin,2
AR:2010:House:4,AR,2010,House,4,Arkansas,,,,"Hendrix College ","Talk Business",,518,Likely.Voters,Phone,NonPartisan,2010-10-14,52.0,34.0,3.0,11.0,57.5,40.2,2.3,177727,Ross,Rankin,3
AR:2010:House:4,AR,2010,House,4,Arkansas,,,,"Diamond (R-Rankin)","Beth Anne Rankin",,1057,Likely.Voters,Phone,Republican,2010-09-27,44.0,41.0,5.0,10.0,57.5,40.2,2.3,177727,Ross,Rankin,2
AR:2010:House:4,AR,2010,House,4,Arkansas,,,,"Hendrix College ","Talk Business",,956,Likely.Voters,Phone,NonPartisan,2010-08-26,49.0,31.0,,,57.5,40.2,2.3,177727,Ross,Rankin,2
AZ:2010:House:1,AZ,2010,House,1,Arizona,,,,"The Hill/ANGA","The Hill","American Natural Gas Alliance",403,Likely.Voters,Phone,NonPartisan,2010-09-30,39.0,46.0,3.0,12.0,43.5,50.0,6.5,212993,Kirkpatrick,Gosar,2
AZ:2010:House:1,AZ,2010,House,1,Arizona,,,,"Ayres, McHenry (R)","American Action Forum",,400,Likely.Voters,Phone,Republican,2010-08-29,41.0,47.0,,12.0,43.5,50.0,6.5,212993,Kirkpatrick,Gosar,2
AZ:2010:House:1,AZ,2010,House,1,Arizona,,,,"Lake (D-Kirkpatrick)","Ann Kirkpatrick",,500,Likely.Voters,Phone,Democratic,2010-08-26,43.0,39.0,,17.0,43.5,50.0,6.5,212993,Kirkpatrick,Gosar,2
AZ:2010:House:3,AZ,2010,House,3,Arizona,,,,"PPP (D)",,,655,Likely.Voters,Phone,NonPartisan,2010-10-17,46.0,44.0,,10.0,41.2,52.4,6.4,187019,Hulburd,Quayle,2
AZ:2010:House:5,AZ,2010,House,5,Arizona,,,,"The Hill/ANGA","The Hill","American Natural Gas Alliance",408,Likely.Voters,Phone,NonPartisan,2010-10-14,42.0,45.0,,10.0,43.1,52.2,4.7,190763,Mitchell,Schweikert,2
AZ:2010:House:5,AZ,2010,House,5,Arizona,,,,"Benenson (D-DCCC)","DCCC",,400,Likely.Voters,Phone,Democratic,2010-10-07,46.0,39.0,,,43.1,52.2,4.7,190763,Mitchell,Schweikert,2
AZ:2010:House:5,AZ,2010,House,5,Arizona,,,,"National Research (R)","Dave Schweikert (R)",,400,Likely.Voters,Phone,Republican,2010-10-06,43.0,45.0,,,43.1,52.2,4.7,190763,Mitchell,Schweikert,2
AZ:2010:House:5,AZ,2010,House,5,Arizona,,,,"Bennett, Petts, Normington (D-Mitchell)","Harry Mitchell for Congress (D)",,400,Likely.Voters,Phone,Democratic,2010-09-27,43.0,40.0,,,43.1,52.2,4.7,190763,Mitchell,Schweikert,2
AZ:2010:House:5,AZ,2010,House,5,Arizona,,,,"Ayres, McHenry (R)","American Action Forum",,400,Likely.Voters,Phone,Republican,2010-08-29,44.0,50.0,,6.0,43.1,52.2,4.7,190763,Mitchell,Schweikert,2
AZ:2010:House:7,AZ,2010,House,7,Arizona,,,,"American Political Consulting (R-McClung)","Ruth McClung (R)",,530,Likely.Voters,Phone,Republican,2010-09-26,42.0,35.0,,23.0,49.4,45.1,5.5,146521,Grijalva,McClung,2
CA:2010:House:3,CA,2010,House,3,California,,,,"PPP (D)","DailyKos.com",,600,Likely.Voters,Phone,NonPartisan,2010-09-19,38.0,46.0,,16.0,42.7,50.6,6.7,206538,Bera,Lungren,2
CA:2010:House:11,CA,2010,House,11,California,,,,"SurveyUSA",,,624,Likely.Voters,Phone,NonPartisan,2010-10-11,42.0,48.0,4.0,5.0,47.7,47.4,4.9,186300,McNerney,Harmer,2
