"","ethnicity","date","filename","sex"
"1","CEU",2003-02-04,"GSM25349.CEL.gz","M"
"2","CEU",2003-02-04,"GSM25350.CEL.gz","M"
"3","CEU",2002-12-17,"GSM25356.CEL.gz","M"
"4","CEU",2003-01-30,"GSM25357.CEL.gz","M"
"5","CEU",2003-01-03,"GSM25358.CEL.gz","M"
"6","CEU",2003-01-16,"GSM25359.CEL.gz","M"
"7","CEU",2003-01-03,"GSM25360.CEL.gz","F"
"8","CEU",2003-02-04,"GSM25361.CEL.gz","M"
"9","CEU",2002-12-17,"GSM25377.CEL.gz","M"
"10","CEU",2002-12-17,"GSM25378.CEL.gz","M"
"11","CEU",2002-12-17,"GSM25385.CEL.gz","M"
"12","CEU",2003-01-03,"GSM25386.CEL.gz","M"
"13","CEU",2002-12-17,"GSM25399.CEL.gz","F"
"14","CEU",2002-12-17,"GSM25400.CEL.gz","F"
"15","CEU",2002-11-22,"GSM25401.CEL.gz","M"
"16","CEU",2002-12-06,"GSM25402.CEL.gz","F"
"17","CEU",2003-01-03,"GSM25409.CEL.gz","M"
"18","CEU",2003-02-21,"GSM25410.CEL.gz","F"
"19","CEU",2003-02-21,"GSM25426.CEL.gz","M"
"20","CEU",2002-12-19,"GSM25427.CEL.gz","M"
"21","CEU",2002-11-19,"GSM25479.CEL.gz","M"
"22","CEU",2002-11-21,"GSM25480.CEL.gz","M"
"23","CEU",2002-11-19,"GSM25481.CEL.gz","F"
"24","CEU",2002-11-21,"GSM25482.CEL.gz","F"
"25","CEU",2002-11-21,"GSM25524.CEL.gz","M"
"26","CEU",2002-11-27,"GSM25525.CEL.gz","M"
"27","CEU",2002-12-06,"GSM25526.CEL.gz","M"
"28","CEU",2002-12-06,"GSM25527.CEL.gz","M"
"29","CEU",2002-11-21,"GSM25528.CEL.gz","M"
"30","CEU",2002-11-27,"GSM25529.CEL.gz","M"
"31","CEU",2002-11-21,"GSM25530.CEL.gz","F"
"32","CEU",2002-12-06,"GSM25531.CEL.gz","F"
"33","CEU",2003-01-16,"GSM25540.CEL.gz","M"
"34","CEU",2003-01-16,"GSM25541.CEL.gz","M"
"35","CEU",2003-01-22,"GSM25542.CEL.gz","F"
"36","CEU",2003-01-22,"GSM25543.CEL.gz","F"
"37","CEU",2003-03-11,"GSM25548.CEL.gz","M"
"38","CEU",2003-03-11,"GSM25549.CEL.gz","M"
"39","CEU",2003-03-07,"GSM25550.CEL.gz","F"
"40","CEU",2003-03-07,"GSM25551.CEL.gz","F"
"41","CEU",2003-04-04,"GSM25552.CEL.gz","M"
"42","CEU",2003-04-04,"GSM25553.CEL.gz","M"
"43","CEU",2003-01-23,"GSM25561.CEL.gz","M"
"44","CEU",2003-01-30,"GSM25562.CEL.gz","M"
"45","CEU",2003-01-23,"GSM25563.CEL.gz","M"
"46","CEU",2003-01-30,"GSM25564.CEL.gz","M"
"47","CEU",2003-02-16,"GSM25565.CEL.gz","F"
"48","CEU",2003-02-04,"GSM25566.CEL.gz","F"
"49","CEU",2003-01-23,"GSM25568.CEL.gz","M"
"50","CEU",2003-02-16,"GSM25569.CEL.gz","F"
"51","CEU",2003-03-11,"GSM25570.CEL.gz","F"
"52","CEU",2003-03-11,"GSM25571.CEL.gz","F"
